#no	Lineage_Name	Alt_Lineage_Name	parasiteGenus	order	family	genus	species	subspecies	Host_Status	Host_Age	Host_Environment	continent	country	region	site	coordinates	found	tested	Reference_Name	comment
284	AFR103	 	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus abyssinicus	 	Resident	 	Wild	Africa	Malawi	Rumphi (Rumpil)	Nyika National Park	-10°35.30700', 033°48.67000'	1	4	Lutz et al 2015	Host_Collection_Number: 468127
466	AFR236	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus abyssinicus	 	Resident	 	Wild	Africa	Malawi	Rumphi (Rumpil)	Nyika National Park	-10°35.30700', 033°48.67000'	1	4	Lutz et al 2015	Host_Collection_Number: 468127
479	AFR248	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus abyssinicus	 	Resident	 	Wild	Africa	Malawi	Rumphi (Rumpil)	Nyika National Park	-10°35.30700', 033°48.67000'	1	4	Lutz et al 2015	Host_Collection_Number: 468130
481	AFTRU06	WAH32	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus pelios	 	 	 	Wild	Africa	Gabon	 	 	 	 	 	Beadell et al 2009	 
482	AFTRU07	WA36	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus pelios	 	 	 	Wild	Africa	Gabon	 	 	 	 	 	Beadell et al 2009	 
483	AFTRU08	WA38	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus pelios	 	 	 	Wild	Africa	Cameroon	 	 	 	 	 	Beadell et al 2009	 
484	AFTRU09	WA40	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus pelios	 	 	 	Wild	Africa	Cameroon	 	 	 	 	 	Beadell et al 2009	 
485	AFTRU09	P_AFTRU09	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus pelios	 	Resident	Unknown	Wild	Africa	Equatorial Guinea	 	Bioko Island	03°30.00000', 008°41.45000'	 	 	Loiseau et al 2017	 
486	AFTRU1	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus pelios	 	 	 	Wild	Africa	Nigeria	 	 	 	 	 	Hellgren et al 2007b	 
487	AFTRU1	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus pelios	 	 	 	Wild	Africa	Nigeria	 	 	 	 	 	Hellgren et al 2007b	 
488	AFTRU2	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus pelios	 	 	 	Wild	Africa	Nigeria	 	 	 	 	 	Hellgren et al 2007b	 
489	AFTRU2	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus pelios	 	 	 	Wild	Africa	Nigeria	 	 	 	 	 	Hellgren et al 2007b	 
490	AFTRU3	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus pelios	 	 	 	Wild	Africa	Nigeria	 	 	 	 	 	Hellgren et al 2007b	 
491	AFTRU3	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus pelios	 	 	 	Wild	Africa	Nigeria	 	 	 	 	 	Hellgren et al 2007b	 
