"species" "Lineage_Name" "parasiteGenus" "continent" "country" "Migratory_Status"
"Turdus abyssinicus" "AFR103" "Haemoproteus" "Africa" "Malawi" "Tropical_resident"
"Turdus abyssinicus" "AFR236" "Leucocytozoon" "Africa" "Malawi" "Tropical_resident"
"Turdus abyssinicus" "AFR248" "Leucocytozoon" "Africa" "Malawi" "Tropical_resident"
"Turdus abyssinicus" "RFF1" "Plasmodium" "Africa" "Malawi" "Tropical_resident"
"Turdus albicollis" "TURALB01" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus albicollis" "TUAMA01" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus amaurochalinus" "TUAMA01" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus amaurochalinus" "TURAMA03" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus amaurochalinus" "TUMIG03" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus amaurochalinus" "GLYSPI06" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus amaurochalinus" "TUMIG03" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus amaurochalinus" "TULEU01" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus amaurochalinus" "ICTCAY02" "Haemoproteus" "South America" "Uruguay" "Tropical_resident"
"Turdus amaurochalinus" "TUMIG03" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus amaurochalinus" "TULEU07" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus amaurochalinus" "TURAMA01" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus amaurochalinus" "TUAMA01" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus amaurochalinus" "TUAMA01" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus amaurochalinus" "TUAMA01" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus amaurochalinus" "TUAMA01" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus amaurochalinus" "TUMIG03" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus amaurochalinus" "GLYSPI06" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus amaurochalinus" "TUAMA01" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus amaurochalinus" "GLYSPI06" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus amaurochalinus" "GLYSPI06" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus amaurochalinus" "TUAMA01" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus cardis" "TUCHR01" "Haemoproteus" "Asia" "Japan" "Migratory"
"Turdus cardis" "TUCAR01" "Haemoproteus" "Asia" "Korea, South" "Migratory"
"Turdus cardis" "TUCAR02" "Leucocytozoon" "Asia" "Japan" "Migratory"
"Turdus chrysolaus" "TUCHR01" "Haemoproteus" "Asia" "Russia" "Migratory"
"Turdus falcklandii" "ELALB02" "Plasmodium" "South America" "Chile" "Tropical_resident"
